,country,year,age,Average_suicides_per_capita
7972,Malta,1996-01-01,25-34 years,7.965
13423,United Kingdom,2015-01-01,75+ years,7.96
2381,Bulgaria,2003-01-01,25-34 years,7.96
8672,Netherlands,2008-01-01,25-34 years,7.96
4346,Fiji,2008-01-01,25-34 years,7.96
8666,Netherlands,2007-01-01,25-34 years,7.955
6552,Italy,2011-01-01,35-54 years,7.945
9377,Paraguay,2003-01-01,75+ years,7.945
2698,Chile,1996-01-01,15-24 years,7.945
12949,Turkmenistan,2001-01-01,75+ years,7.945
8251,Mauritius,2011-01-01,55-74 years,7.945
12913,Turkmenistan,1995-01-01,75+ years,7.9350000000000005
12517,Thailand,1991-01-01,55-74 years,7.9350000000000005
4952,Germany,2006-01-01,25-34 years,7.9350000000000005
8922,Nicaragua,2014-01-01,15-24 years,7.9350000000000005
5196,Greece,2015-01-01,75+ years,7.935
2102,Brazil,1987-01-01,55-74 years,7.935
12610,Thailand,2009-01-01,25-34 years,7.935
1928,Belize,1990-01-01,55-74 years,7.935
6350,Israel,2008-01-01,55-74 years,7.93
9728,Portugal,1993-01-01,35-54 years,7.93
12623,Thailand,2011-01-01,35-54 years,7.925000000000001
12511,Thailand,1990-01-01,55-74 years,7.925
7504,Latvia,2013-01-01,15-24 years,7.92
3620,Czech Republic,2002-01-01,15-24 years,7.915
12611,Thailand,2009-01-01,35-54 years,7.915
4873,Germany,1993-01-01,15-24 years,7.915
12625,Thailand,2011-01-01,55-74 years,7.914999999999999
4149,El Salvador,2010-01-01,35-54 years,7.914999999999999
3017,Costa Rica,1987-01-01,25-34 years,7.91
12072,Suriname,1996-01-01,35-54 years,7.91
13296,United Kingdom,1994-01-01,55-74 years,7.91
3064,Costa Rica,1995-01-01,15-24 years,7.91
11819,Spain,1994-01-01,25-34 years,7.905
5808,Hungary,2012-01-01,15-24 years,7.905
3442,Cuba,2013-01-01,25-34 years,7.904999999999999
3023,Costa Rica,1988-01-01,25-34 years,7.9
13864,Uzbekistan,2004-01-01,35-54 years,7.9
2699,Chile,1996-01-01,25-34 years,7.9
6324,Israel,2004-01-01,35-54 years,7.9
8462,Mexico,2015-01-01,15-24 years,7.8999999999999995
3989,Ecuador,2008-01-01,55-74 years,7.8950000000000005
8323,Mexico,1991-01-01,75+ years,7.895
12496,Thailand,1986-01-01,25-34 years,7.895
2308,Bulgaria,1991-01-01,15-24 years,7.890000000000001
2930,Colombia,2003-01-01,55-74 years,7.890000000000001
6281,Israel,1997-01-01,25-34 years,7.885
9142,Panama,1986-01-01,55-74 years,7.885
3890,Ecuador,1992-01-01,25-34 years,7.885
11014,Serbia,2003-01-01,15-24 years,7.88
12599,Thailand,2007-01-01,35-54 years,7.88
9221,Panama,2005-01-01,75+ years,7.88
4633,France,2000-01-01,15-24 years,7.88
11790,Spain,1989-01-01,35-54 years,7.875
13854,Uzbekistan,2002-01-01,55-74 years,7.875
13389,United Kingdom,2010-01-01,25-34 years,7.87
12590,Thailand,2005-01-01,75+ years,7.87
13411,United Kingdom,2013-01-01,75+ years,7.87
13302,United Kingdom,1995-01-01,55-74 years,7.869999999999999
2968,Colombia,2010-01-01,15-24 years,7.865
4909,Germany,1999-01-01,15-24 years,7.865
9174,Panama,1998-01-01,15-24 years,7.865
3256,Croatia,2007-01-01,15-24 years,7.86
12465,Switzerland,2012-01-01,15-24 years,7.86
9378,Paraguay,2004-01-01,15-24 years,7.859999999999999
9431,Paraguay,2012-01-01,75+ years,7.859999999999999
8605,Netherlands,1997-01-01,15-24 years,7.8549999999999995
11422,Slovakia,1998-01-01,15-24 years,7.8500000000000005
514,Armenia,1995-01-01,55-74 years,7.8500000000000005
6450,Italy,1994-01-01,35-54 years,7.85
446,Argentina,2010-01-01,35-54 years,7.85
6052,Ireland,1989-01-01,15-24 years,7.85
13363,United Kingdom,2005-01-01,75+ years,7.85
2368,Bulgaria,2001-01-01,15-24 years,7.845000000000001
12536,Thailand,1995-01-01,75+ years,7.84
11837,Spain,1997-01-01,25-34 years,7.84
8929,Nicaragua,2015-01-01,25-34 years,7.84
2210,Brazil,2005-01-01,55-74 years,7.84
9425,Paraguay,2011-01-01,75+ years,7.84
3286,Croatia,2012-01-01,15-24 years,7.835000000000001
2070,Belize,2015-01-01,35-54 years,7.835000000000001
7359,Kyrgyzstan,2009-01-01,75+ years,7.835000000000001
8359,Mexico,1997-01-01,75+ years,7.835
3182,Costa Rica,2014-01-01,55-74 years,7.835
9426,Paraguay,2012-01-01,15-24 years,7.834999999999999
4927,Germany,2002-01-01,15-24 years,7.83
5178,Greece,2012-01-01,75+ years,7.825
11188,Seychelles,2014-01-01,15-24 years,7.825
7749,Luxembourg,2001-01-01,15-24 years,7.825
5082,Greece,1996-01-01,75+ years,7.825
4627,France,1999-01-01,15-24 years,7.82
2252,Brazil,2012-01-01,55-74 years,7.82
4657,France,2004-01-01,15-24 years,7.82
12903,Turkmenistan,1994-01-01,25-34 years,7.82
7689,Luxembourg,1991-01-01,15-24 years,7.815
7976,Malta,1996-01-01,75+ years,7.815
10416,Romania,2008-01-01,25-34 years,7.8149999999999995
292,Antigua and Barbuda,2015-01-01,55-74 years,7.81
12505,Thailand,1987-01-01,55-74 years,7.805000000000001
2168,Brazil,1998-01-01,55-74 years,7.805000000000001
12646,Thailand,2015-01-01,25-34 years,7.805
1073,Austria,2015-01-01,15-24 years,7.805
4303,Fiji,2001-01-01,15-24 years,7.805
2162,Brazil,1997-01-01,55-74 years,7.8
12493,Thailand,1985-01-01,55-74 years,7.8
12506,Thailand,1987-01-01,75+ years,7.8
7391,Kyrgyzstan,2015-01-01,25-34 years,7.8
2998,Colombia,2015-01-01,15-24 years,7.795
3174,Costa Rica,2013-01-01,35-54 years,7.795
3059,Costa Rica,1994-01-01,25-34 years,7.790000000000001
13618,Uruguay,1986-01-01,35-54 years,7.789999999999999
3721,Denmark,1996-01-01,15-24 years,7.789999999999999
13326,United Kingdom,1999-01-01,55-74 years,7.785
8438,Mexico,2011-01-01,15-24 years,7.785
9175,Panama,1998-01-01,25-34 years,7.78
2097,Brazil,1986-01-01,75+ years,7.78
9311,Paraguay,1990-01-01,75+ years,7.775
10034,Qatar,2001-01-01,35-54 years,7.775
2704,Chile,1997-01-01,15-24 years,7.775
3745,Denmark,2000-01-01,15-24 years,7.775
9208,Panama,2003-01-01,55-74 years,7.775
3715,Denmark,1995-01-01,15-24 years,7.775
1079,Austria,2016-01-01,15-24 years,7.77
6414,Italy,1988-01-01,35-54 years,7.77
2664,Chile,1990-01-01,35-54 years,7.765000000000001
683,Aruba,2007-01-01,15-24 years,7.765
4307,Fiji,2001-01-01,55-74 years,7.765
6420,Italy,1989-01-01,35-54 years,7.76
3859,Ecuador,1987-01-01,15-24 years,7.76
7865,Maldives,2003-01-01,35-54 years,7.76
3908,Ecuador,1995-01-01,25-34 years,7.75
4347,Fiji,2008-01-01,35-54 years,7.75
3680,Czech Republic,2012-01-01,15-24 years,7.75
6486,Italy,2000-01-01,35-54 years,7.745
9287,Paraguay,1985-01-01,75+ years,7.735
9184,Panama,1999-01-01,55-74 years,7.735
12872,Turkmenistan,1989-01-01,15-24 years,7.73
11369,Singapore,2013-01-01,25-34 years,7.73
11772,Spain,1986-01-01,35-54 years,7.73
575,Armenia,2007-01-01,75+ years,7.7299999999999995
2675,Chile,1992-01-01,25-34 years,7.7250000000000005
9155,Panama,1988-01-01,75+ years,7.725
2640,Chile,1986-01-01,35-54 years,7.72
2991,Colombia,2013-01-01,75+ years,7.715
9200,Panama,2002-01-01,35-54 years,7.715
5796,Hungary,2010-01-01,15-24 years,7.710000000000001
3110,Costa Rica,2002-01-01,55-74 years,7.705
2356,Bulgaria,1999-01-01,15-24 years,7.705
6159,Ireland,2006-01-01,75+ years,7.7
2903,Colombia,1999-01-01,25-34 years,7.699999999999999
6323,Israel,2004-01-01,25-34 years,7.695
6474,Italy,1998-01-01,35-54 years,7.695
1934,Belize,1991-01-01,55-74 years,7.69
10434,Romania,2011-01-01,25-34 years,7.69
8023,Malta,2004-01-01,55-74 years,7.6899999999999995
476,Argentina,2015-01-01,35-54 years,7.6899999999999995
3170,Costa Rica,2012-01-01,55-74 years,7.685
12521,Thailand,1992-01-01,35-54 years,7.685
3902,Ecuador,1994-01-01,25-34 years,7.675000000000001
8192,Mauritius,2001-01-01,75+ years,7.675
2658,Chile,1989-01-01,35-54 years,7.675
6270,Israel,1995-01-01,35-54 years,7.675
12587,Thailand,2005-01-01,35-54 years,7.67
2258,Brazil,2013-01-01,55-74 years,7.67
6359,Israel,2010-01-01,25-34 years,7.665
2150,Brazil,1995-01-01,55-74 years,7.66
6304,Israel,2001-01-01,15-24 years,7.655
2927,Colombia,2003-01-01,25-34 years,7.654999999999999
13320,United Kingdom,1998-01-01,55-74 years,7.654999999999999
3060,Costa Rica,1994-01-01,35-54 years,7.65
3757,Denmark,2002-01-01,15-24 years,7.645
12961,Turkmenistan,2003-01-01,75+ years,7.645
8002,Malta,2001-01-01,25-34 years,7.645
9170,Panama,1997-01-01,35-54 years,7.645
89,Albania,2003-01-01,75+ years,7.640000000000001
2682,Chile,1993-01-01,35-54 years,7.640000000000001
10211,Republic of Korea,2001-01-01,15-24 years,7.64
464,Argentina,2013-01-01,35-54 years,7.64
6353,Israel,2009-01-01,25-34 years,7.63
3088,Costa Rica,1999-01-01,15-24 years,7.63
3179,Costa Rica,2014-01-01,25-34 years,7.625
9238,Panama,2008-01-01,55-74 years,7.625
12541,Thailand,1996-01-01,55-74 years,7.625
10896,Saint Vincent and Grenadines,2004-01-01,35-54 years,7.625
4915,Germany,2000-01-01,15-24 years,7.625
3512,Cyprus,2010-01-01,75+ years,7.625
12617,Thailand,2010-01-01,35-54 years,7.62
6045,Ireland,1987-01-01,75+ years,7.615
6081,Ireland,1993-01-01,75+ years,7.6049999999999995
2268,Brazil,2015-01-01,35-54 years,7.6
3854,Ecuador,1986-01-01,25-34 years,7.595000000000001
8456,Mexico,2014-01-01,15-24 years,7.595
10710,Saint Lucia,1996-01-01,35-54 years,7.59
6366,Israel,2011-01-01,35-54 years,7.59
11873,Spain,2003-01-01,25-34 years,7.59
10139,Republic of Korea,1989-01-01,15-24 years,7.585000000000001
4921,Germany,2001-01-01,15-24 years,7.585
2387,Bulgaria,2004-01-01,25-34 years,7.585
6282,Israel,1997-01-01,35-54 years,7.585
5860,Iceland,1988-01-01,75+ years,7.575
2646,Chile,1987-01-01,35-54 years,7.574999999999999
13876,Uzbekistan,2009-01-01,35-54 years,7.57
2222,Brazil,2007-01-01,55-74 years,7.57
6540,Italy,2009-01-01,35-54 years,7.57
6227,Israel,1988-01-01,25-34 years,7.57
385,Argentina,2000-01-01,25-34 years,7.565
6504,Italy,2003-01-01,35-54 years,7.5600000000000005
11171,Seychelles,2011-01-01,25-34 years,7.56
11855,Spain,2000-01-01,25-34 years,7.555
11178,Seychelles,2012-01-01,35-54 years,7.555
8920,Nicaragua,2013-01-01,55-74 years,7.550000000000001
5189,Greece,2014-01-01,55-74 years,7.55
11392,Slovakia,1993-01-01,15-24 years,7.55
10433,Romania,2011-01-01,15-24 years,7.55
4313,Fiji,2002-01-01,55-74 years,7.545
5772,Hungary,2006-01-01,15-24 years,7.545
3977,Ecuador,2006-01-01,55-74 years,7.545
5925,Iceland,1999-01-01,55-74 years,7.545
4812,Georgia,2007-01-01,75+ years,7.545
2897,Colombia,1998-01-01,25-34 years,7.540000000000001
13256,United Kingdom,1988-01-01,15-24 years,7.54
10702,Saint Lucia,1995-01-01,15-24 years,7.54
3047,Costa Rica,1992-01-01,25-34 years,7.54
3238,Croatia,2004-01-01,15-24 years,7.54
10016,Puerto Rico,2014-01-01,35-54 years,7.54
11813,Spain,1993-01-01,25-34 years,7.54
7048,Kiribati,1995-01-01,15-24 years,7.54
4733,Georgia,1991-01-01,55-74 years,7.535
7055,Kiribati,1996-01-01,25-34 years,7.535
8389,Mexico,2002-01-01,75+ years,7.535
2980,Colombia,2012-01-01,15-24 years,7.535
6426,Italy,1990-01-01,35-54 years,7.529999999999999
13863,Uzbekistan,2004-01-01,25-34 years,7.529999999999999
6449,Italy,1994-01-01,25-34 years,7.525
3872,Ecuador,1989-01-01,25-34 years,7.525
11489,Slovakia,2009-01-01,25-34 years,7.525
3830,Denmark,2014-01-01,25-34 years,7.5200000000000005
665,Aruba,2004-01-01,15-24 years,7.52
440,Argentina,2009-01-01,35-54 years,7.52
4645,France,2002-01-01,15-24 years,7.515000000000001
11339,Singapore,2008-01-01,25-34 years,7.515000000000001
12524,Thailand,1992-01-01,75+ years,7.515
8227,Mauritius,2007-01-01,55-74 years,7.515
11268,Singapore,1996-01-01,35-54 years,7.515
2256,Brazil,2013-01-01,35-54 years,7.51
3824,Denmark,2013-01-01,25-34 years,7.51
6546,Italy,2010-01-01,35-54 years,7.505000000000001
569,Armenia,2006-01-01,75+ years,7.505000000000001
5094,Greece,1998-01-01,75+ years,7.505000000000001
83,Albania,2002-01-01,75+ years,7.505
5195,Greece,2015-01-01,55-74 years,7.505
12515,Thailand,1991-01-01,35-54 years,7.505
2663,Chile,1990-01-01,25-34 years,7.5
11038,Serbia,2007-01-01,15-24 years,7.5
5183,Greece,2013-01-01,55-74 years,7.5
4310,Fiji,2002-01-01,25-34 years,7.5
181,Antigua and Barbuda,1993-01-01,25-34 years,7.5
10781,Saint Lucia,2009-01-01,25-34 years,7.5
9407,Paraguay,2008-01-01,75+ years,7.495
4770,Georgia,1998-01-01,75+ years,7.49
3920,Ecuador,1997-01-01,25-34 years,7.49
3310,Croatia,2016-01-01,15-24 years,7.49
12535,Thailand,1995-01-01,55-74 years,7.49
2710,Chile,1998-01-01,15-24 years,7.49
4358,Fiji,2011-01-01,25-34 years,7.484999999999999
6498,Italy,2002-01-01,35-54 years,7.484999999999999
9305,Paraguay,1989-01-01,75+ years,7.484999999999999
11386,Slovakia,1992-01-01,15-24 years,7.484999999999999
6724,Japan,1992-01-01,15-24 years,7.48
1031,Austria,2008-01-01,15-24 years,7.4799999999999995
11766,Spain,1985-01-01,35-54 years,7.475
3038,Costa Rica,1990-01-01,55-74 years,7.475
2264,Brazil,2014-01-01,55-74 years,7.475
7931,Malta,1989-01-01,35-54 years,7.47
6706,Japan,1989-01-01,15-24 years,7.47
6210,Israel,1985-01-01,35-54 years,7.47
11212,Singapore,1987-01-01,15-24 years,7.47
8371,Mexico,1999-01-01,75+ years,7.465
5866,Iceland,1989-01-01,75+ years,7.465
581,Armenia,2008-01-01,75+ years,7.465
13869,Uzbekistan,2005-01-01,25-34 years,7.460000000000001
13368,United Kingdom,2006-01-01,55-74 years,7.460000000000001
11154,Seychelles,2008-01-01,35-54 years,7.46
707,Aruba,2011-01-01,15-24 years,7.455
6576,Italy,2015-01-01,35-54 years,7.455
3148,Costa Rica,2009-01-01,15-24 years,7.45
2057,Belize,2013-01-01,25-34 years,7.45
13894,Uzbekistan,2012-01-01,35-54 years,7.45
10439,Romania,2012-01-01,15-24 years,7.445
10708,Saint Lucia,1996-01-01,15-24 years,7.44
10319,Romania,1992-01-01,15-24 years,7.44
1946,Belize,1994-01-01,55-74 years,7.435
3806,Denmark,2010-01-01,25-34 years,7.435
2126,Brazil,1991-01-01,55-74 years,7.435
3751,Denmark,2001-01-01,15-24 years,7.43
12593,Thailand,2006-01-01,35-54 years,7.425000000000001
3051,Costa Rica,1992-01-01,75+ years,7.425
7967,Malta,1995-01-01,35-54 years,7.425
13398,United Kingdom,2011-01-01,55-74 years,7.425
13286,United Kingdom,1993-01-01,15-24 years,7.42
3158,Costa Rica,2010-01-01,55-74 years,7.415
13381,United Kingdom,2008-01-01,75+ years,7.415
13882,Uzbekistan,2010-01-01,35-54 years,7.415
10151,Republic of Korea,1991-01-01,15-24 years,7.41
3739,Denmark,1999-01-01,15-24 years,7.404999999999999
13392,United Kingdom,2010-01-01,55-74 years,7.404999999999999
4031,Ecuador,2015-01-01,55-74 years,7.404999999999999
3086,Costa Rica,1998-01-01,55-74 years,7.390000000000001
508,Armenia,1994-01-01,55-74 years,7.390000000000001
9389,Paraguay,2005-01-01,75+ years,7.39
12268,Sweden,2001-01-01,15-24 years,7.385
3981,Ecuador,2007-01-01,35-54 years,7.380000000000001
9533,Philippines,2011-01-01,75+ years,7.380000000000001
6467,Italy,1997-01-01,25-34 years,7.38
2186,Brazil,2001-01-01,55-74 years,7.38
6492,Italy,2001-01-01,35-54 years,7.375
13380,United Kingdom,2008-01-01,55-74 years,7.37
4757,Georgia,1996-01-01,55-74 years,7.37
13808,Uzbekistan,1995-01-01,15-24 years,7.369999999999999
13345,United Kingdom,2002-01-01,75+ years,7.365
568,Armenia,2006-01-01,55-74 years,7.365
3093,Costa Rica,1999-01-01,75+ years,7.36
332,Argentina,1991-01-01,35-54 years,7.359999999999999
458,Argentina,2012-01-01,35-54 years,7.359999999999999
1464,Barbados,1988-01-01,35-54 years,7.355
3769,Denmark,2004-01-01,15-24 years,7.3549999999999995
2234,Brazil,2009-01-01,55-74 years,7.3500000000000005
3142,Costa Rica,2008-01-01,15-24 years,7.3500000000000005
6336,Israel,2006-01-01,35-54 years,7.35
5100,Greece,1999-01-01,75+ years,7.35
3971,Ecuador,2005-01-01,55-74 years,7.35
11182,Seychelles,2013-01-01,15-24 years,7.35
5154,Greece,2008-01-01,75+ years,7.345000000000001
13404,United Kingdom,2012-01-01,55-74 years,7.345000000000001
2228,Brazil,2008-01-01,55-74 years,7.345
7767,Luxembourg,2004-01-01,15-24 years,7.345
5359,Guatemala,1987-01-01,25-34 years,7.34
11778,Spain,1987-01-01,35-54 years,7.335000000000001
13338,United Kingdom,2001-01-01,55-74 years,7.335000000000001
5784,Hungary,2008-01-01,15-24 years,7.335
4639,France,2001-01-01,15-24 years,7.335
6443,Italy,1993-01-01,25-34 years,7.33
3926,Ecuador,1998-01-01,25-34 years,7.33
11825,Spain,1995-01-01,25-34 years,7.33
2633,Chile,1985-01-01,25-34 years,7.325
4085,El Salvador,1999-01-01,55-74 years,7.325
13875,Uzbekistan,2009-01-01,25-34 years,7.325
9192,Panama,2001-01-01,15-24 years,7.325
2639,Chile,1986-01-01,25-34 years,7.324999999999999
3638,Czech Republic,2005-01-01,15-24 years,7.32
8270,Mauritius,2014-01-01,75+ years,7.32
9439,Paraguay,2014-01-01,25-34 years,7.32
13417,United Kingdom,2014-01-01,75+ years,7.315
116,Albania,2008-01-01,35-54 years,7.315
8909,Nicaragua,2011-01-01,75+ years,7.315
3098,Costa Rica,2000-01-01,55-74 years,7.315
2262,Brazil,2014-01-01,35-54 years,7.3149999999999995
11404,Slovakia,1995-01-01,15-24 years,7.3149999999999995
2669,Chile,1991-01-01,25-34 years,7.3100000000000005
11867,Spain,2002-01-01,25-34 years,7.31
8444,Mexico,2012-01-01,15-24 years,7.31
3800,Denmark,2009-01-01,25-34 years,7.305000000000001
2992,Colombia,2014-01-01,15-24 years,7.305000000000001
12071,Suriname,1996-01-01,25-34 years,7.305
8431,Mexico,2009-01-01,75+ years,7.305
1385,Bahrain,2005-01-01,25-34 years,7.305
11464,Slovakia,2005-01-01,15-24 years,7.305
13386,United Kingdom,2009-01-01,55-74 years,7.305
671,Aruba,2005-01-01,15-24 years,7.305
10714,Saint Lucia,1997-01-01,15-24 years,7.305
8211,Mauritius,2005-01-01,15-24 years,7.300000000000001
13280,United Kingdom,1992-01-01,15-24 years,7.3
6069,Ireland,1991-01-01,75+ years,7.3
13393,United Kingdom,2010-01-01,75+ years,7.3
2912,Colombia,2000-01-01,55-74 years,7.3
11440,Slovakia,2001-01-01,15-24 years,7.3
2435,Bulgaria,2012-01-01,25-34 years,7.3
9421,Paraguay,2011-01-01,25-34 years,7.295
6510,Italy,2004-01-01,35-54 years,7.295
2156,Brazil,1996-01-01,55-74 years,7.295
5766,Hungary,2005-01-01,15-24 years,7.295
2250,Brazil,2012-01-01,35-54 years,7.29
5826,Hungary,2015-01-01,15-24 years,7.285
2016,Belize,2006-01-01,35-54 years,7.285
13308,United Kingdom,1996-01-01,55-74 years,7.285
6354,Israel,2009-01-01,35-54 years,7.279999999999999
11861,Spain,2001-01-01,25-34 years,7.279999999999999
9390,Paraguay,2006-01-01,15-24 years,7.279999999999999
9187,Panama,2000-01-01,25-34 years,7.27
2692,Chile,1995-01-01,15-24 years,7.27
2180,Brazil,2000-01-01,55-74 years,7.265
10331,Romania,1994-01-01,15-24 years,7.260000000000001
8231,Mauritius,2008-01-01,35-54 years,7.26
8413,Mexico,2006-01-01,75+ years,7.26
7833,Luxembourg,2015-01-01,15-24 years,7.26
12471,Switzerland,2013-01-01,15-24 years,7.26
9913,Puerto Rico,1997-01-01,25-34 years,7.26
3948,Ecuador,2001-01-01,75+ years,7.255
13375,United Kingdom,2007-01-01,75+ years,7.255
11198,Seychelles,2015-01-01,55-74 years,7.245
10427,Romania,2010-01-01,15-24 years,7.245
1952,Belize,1995-01-01,55-74 years,7.245
2246,Brazil,2011-01-01,55-74 years,7.245
2216,Brazil,2006-01-01,55-74 years,7.24
1986,Belize,2001-01-01,35-54 years,7.235
9678,Portugal,1985-01-01,15-24 years,7.234999999999999
3004,Costa Rica,1985-01-01,15-24 years,7.23
2936,Colombia,2004-01-01,55-74 years,7.2299999999999995
55,Albania,1998-01-01,25-34 years,7.225
1061,Austria,2013-01-01,15-24 years,7.220000000000001
3448,Cuba,2014-01-01,25-34 years,7.220000000000001
9967,Puerto Rico,2006-01-01,25-34 years,7.220000000000001
11248,Singapore,1993-01-01,15-24 years,7.220000000000001
7948,Malta,1992-01-01,25-34 years,7.22
10301,Romania,1989-01-01,15-24 years,7.215
10742,Saint Lucia,2001-01-01,55-74 years,7.215
3124,Costa Rica,2005-01-01,15-24 years,7.215
3812,Denmark,2011-01-01,25-34 years,7.215
6730,Japan,1993-01-01,15-24 years,7.215
5015,Greece,1985-01-01,55-74 years,7.210000000000001
12086,Suriname,1998-01-01,55-74 years,7.205
10688,Saint Lucia,1992-01-01,55-74 years,7.205
6123,Ireland,2000-01-01,75+ years,7.205
3102,Costa Rica,2001-01-01,35-54 years,7.205
2951,Colombia,2007-01-01,25-34 years,7.2
2979,Colombia,2011-01-01,75+ years,7.2
6129,Ireland,2001-01-01,75+ years,7.2
2232,Brazil,2009-01-01,35-54 years,7.2
9214,Panama,2004-01-01,55-74 years,7.2
1154,Azerbaijan,2001-01-01,55-74 years,7.195
7792,Luxembourg,2008-01-01,25-34 years,7.195
497,Armenia,1992-01-01,75+ years,7.195
13356,United Kingdom,2004-01-01,55-74 years,7.195
11410,Slovakia,1996-01-01,15-24 years,7.194999999999999
10694,Saint Lucia,1993-01-01,55-74 years,7.19
13332,United Kingdom,2000-01-01,55-74 years,7.1899999999999995
13880,Uzbekistan,2010-01-01,15-24 years,7.1899999999999995
13362,United Kingdom,2005-01-01,55-74 years,7.1899999999999995
2945,Colombia,2006-01-01,25-34 years,7.185
12595,Thailand,2006-01-01,55-74 years,7.185
2974,Colombia,2011-01-01,15-24 years,7.185
11796,Spain,1990-01-01,35-54 years,7.180000000000001
2681,Chile,1993-01-01,25-34 years,7.18
5130,Greece,2004-01-01,75+ years,7.18
4781,Georgia,2000-01-01,55-74 years,7.175000000000001
7987,Malta,1998-01-01,55-74 years,7.17
5211,Grenada,1989-01-01,35-54 years,7.17
9240,Panama,2009-01-01,15-24 years,7.165000000000001
11137,Seychelles,2005-01-01,5-14 years,7.165
8437,Mexico,2010-01-01,75+ years,7.16
2198,Brazil,2003-01-01,55-74 years,7.16
8463,Mexico,2015-01-01,25-34 years,7.16
2933,Colombia,2004-01-01,25-34 years,7.16
10666,Saint Lucia,1989-01-01,15-24 years,7.16
4933,Germany,2003-01-01,15-24 years,7.155
3662,Czech Republic,2009-01-01,15-24 years,7.15
6480,Italy,1999-01-01,35-54 years,7.15
6473,Italy,1998-01-01,25-34 years,7.15
4663,France,2005-01-01,15-24 years,7.15
2434,Bulgaria,2012-01-01,15-24 years,7.145
11375,Singapore,2014-01-01,25-34 years,7.145
92,Albania,2004-01-01,35-54 years,7.145
1472,Barbados,1989-01-01,55-74 years,7.145
79,Albania,2002-01-01,25-34 years,7.140000000000001
13268,United Kingdom,1990-01-01,15-24 years,7.140000000000001
672,Aruba,2005-01-01,25-34 years,7.14
11428,Slovakia,1999-01-01,15-24 years,7.135
9281,Panama,2015-01-01,75+ years,7.135
9733,Portugal,1994-01-01,25-34 years,7.130000000000001
3698,Czech Republic,2015-01-01,15-24 years,7.13
3077,Costa Rica,1997-01-01,25-34 years,7.13
6461,Italy,1996-01-01,25-34 years,7.125
4020,Ecuador,2013-01-01,75+ years,7.125
3869,Ecuador,1988-01-01,55-74 years,7.12
8199,Mauritius,2003-01-01,15-24 years,7.115
6221,Israel,1987-01-01,25-34 years,7.115
3518,Cyprus,2011-01-01,75+ years,7.109999999999999
8918,Nicaragua,2013-01-01,35-54 years,7.109999999999999
3008,Costa Rica,1985-01-01,55-74 years,7.109999999999999
12491,Thailand,1985-01-01,35-54 years,7.109999999999999
3412,Cuba,2008-01-01,25-34 years,7.109999999999999
2668,Chile,1991-01-01,15-24 years,7.105
6280,Israel,1997-01-01,15-24 years,7.1049999999999995
10337,Romania,1995-01-01,15-24 years,7.1000000000000005
3535,Cyprus,2014-01-01,55-74 years,7.1000000000000005
3140,Costa Rica,2007-01-01,55-74 years,7.1
2900,Colombia,1998-01-01,55-74 years,7.1
3975,Ecuador,2006-01-01,35-54 years,7.1
9163,Panama,1996-01-01,25-34 years,7.095000000000001
11332,Singapore,2007-01-01,15-24 years,7.095000000000001
11290,Singapore,2000-01-01,15-24 years,7.095
8209,Mauritius,2004-01-01,55-74 years,7.09
1155,Azerbaijan,2001-01-01,75+ years,7.09
9966,Puerto Rico,2006-01-01,15-24 years,7.085000000000001
6534,Italy,2008-01-01,35-54 years,7.085
3541,Cyprus,2015-01-01,55-74 years,7.085
3993,Ecuador,2009-01-01,35-54 years,7.085
8377,Mexico,2000-01-01,75+ years,7.085
4053,El Salvador,1993-01-01,35-54 years,7.08
6222,Israel,1987-01-01,35-54 years,7.08
3932,Ecuador,1999-01-01,25-34 years,7.08
6250,Israel,1992-01-01,15-24 years,7.08
10754,Saint Lucia,2003-01-01,55-74 years,7.075
8926,Nicaragua,2014-01-01,55-74 years,7.075
2192,Brazil,2002-01-01,55-74 years,7.075
12573,Thailand,2003-01-01,15-24 years,7.074999999999999
7785,Luxembourg,2007-01-01,15-24 years,7.07
3917,Ecuador,1996-01-01,55-74 years,7.069999999999999
6293,Israel,1999-01-01,25-34 years,7.065
13617,Uruguay,1986-01-01,25-34 years,7.065
7965,Malta,1995-01-01,15-24 years,7.065
2056,Belize,2013-01-01,15-24 years,7.065
2877,Colombia,1994-01-01,75+ years,7.0649999999999995
2240,Brazil,2010-01-01,55-74 years,7.06
2889,Colombia,1996-01-01,75+ years,7.055
2214,Brazil,2006-01-01,35-54 years,7.055
13369,United Kingdom,2006-01-01,75+ years,7.05
2411,Bulgaria,2008-01-01,25-34 years,7.045
8450,Mexico,2013-01-01,15-24 years,7.045
6245,Israel,1991-01-01,25-34 years,7.045
3520,Cyprus,2012-01-01,25-34 years,7.04
3180,Costa Rica,2014-01-01,35-54 years,7.035
3146,Costa Rica,2008-01-01,55-74 years,7.035
13856,Uzbekistan,2003-01-01,15-24 years,7.035
2244,Brazil,2011-01-01,35-54 years,7.035
11190,Seychelles,2014-01-01,35-54 years,7.035
7924,Malta,1988-01-01,25-34 years,7.029999999999999
9247,Panama,2010-01-01,25-34 years,7.025
1954,Belize,1996-01-01,15-24 years,7.025
3530,Cyprus,2013-01-01,75+ years,7.025
10343,Romania,1996-01-01,15-24 years,7.025
8035,Malta,2006-01-01,55-74 years,7.025
13314,United Kingdom,1997-01-01,55-74 years,7.025
